model_id,model_name,family,representative_role,selected_for_visualization,grouping_match,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,131,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,161,0.0650355839943207,3788381.792018381,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,231,0.0999591851051422,5822713.252338665,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,232,0.0,0.0,58250907.57006503,648
Sim634,Sim634,F04,,False,True,7,0.35,-78.45284887574365,241,0.1612818050440687,9394811.5183553,58250907.57006503,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,11,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,12,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,13,0.112931788140567,6579754.714847235,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,14,0.2025224894849196,11799585.634758271,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,15,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,16,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,21,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,22,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,23,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,24,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,25,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,26,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,111,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,121,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,131,0.3570150992164678,20800802.156938314,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,161,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,231,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,232,0.0,0.0,58263088.03910343,648
Sim634,Sim634,F04,,False,True,8,0.4,-72.14822012936753,241,0.3275306231580454,19082945.53255961,58263088.03910343,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,11,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,12,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,13,0.1696643875468851,9892882.698337749,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,14,0.2650909872331026,15457068.386604868,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,15,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,16,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,21,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,22,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,23,0.0108533121939564,632840.7863057236,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,24,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,25,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,26,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,111,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,121,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,131,0.0074419965876604,433931.9544168317,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,161,0.0039680621645771,231371.91075543675,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,231,0.1771744443363323,10330783.143741036,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,232,0.0,0.0,58308539.82603714,648
Sim634,Sim634,F04,,False,True,9,0.45,-65.7327482820664,241,0.3658068099374857,21329660.94587549,58308539.82603714,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,11,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,12,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,13,0.204004623766795,11898316.725610549,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,14,0.1272895321151603,7424004.1279273555,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,15,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,16,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,21,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,22,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,23,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,24,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,25,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,26,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,111,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,121,0.0,0.0,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,131,0.2509007093147102,14633472.76637889,58323760.04973268,648
Sim634,Sim634,F04,,False,True,10,0.5,-59.41693726641058,161,0.0,0.0,58323760.04973268,648
